Name,ACTR2,ABCF3,RBX1,ARMC1,XIAP,RFTN1,GNL3,NUP50,DHX9,SGTA,ZADH2,COX7A2,CRAT,SMARCE1,STAT3,ERAP1,EHD4,FHL3,THBS2,PDHA1,ENSA,ANXA2,EML3,PSMD13,ARIH1,DNM1,ECI2,CDV3,CDK9,TOM1,ARHGEF6,EIF3I,SETD3,DDX60,APOA4,ABI1,VDAC2,ACTR3,UBXN7,PLIN2,PCBP1,NELFE,AMPD3,RMDN3,PEF1,ELOB,LDHD,CTBP1,TOMM6,JCHAIN,PRPF40A,NECTIN2,CLPTM1L,RPE,TLDC1,SPRYD4,PHB2,ICAM3,UBA3,EIF2D,ARL6IP4,PRDX3,SPON1,TMEM30A,PDS5B,TJP1,B4GALT1,WTAP,PRMT5,NUDT16L1,STX3,SLC39A11,DNAAF5,ACADVL,ACADSB,RACK1,FAM120A,CEACAM1,MIA2,ANG,MLYCD,CHMP2A,CMBL,CFHR5,CASP6,BOD1L1,RPRD2,NT5C,DOCK7,RUFY1,CHID1,ABCB1,PUF60,PSMD1,PGAM5,HDHD5,GALNT3,LACTB,IDH1,RCC1L
11CO033,0.47,0.4339,0.674,0.027999999999999997,-0.16399999999999998,0.013999999999999999,0.45399999999999996,0.7440000000000001,0.1062,0.312,0.04,-1.105,0.061,0.128,0.247,-0.253,-0.23800000000000002,1.317,2.87,-0.868,0.5861,0.0619,0.018000000000000002,-0.0596,-0.40299999999999997,0.32,-0.893,1.0232,0.2288,0.614,0.7094,-0.2033,-0.11900000000000001,-0.594,-0.1085,-0.0747,-0.561,-0.0335,-0.1169,0.973,-0.2543,0.0856,0.7490000000000001,1.169,-0.017,-0.13699999999999998,-0.787,-0.54,-0.2761,-1.544,0.263,-0.29100000000000004,-0.047,0.73,-0.0347,-0.6744,-0.2681,0.32799999999999996,-0.153,-0.502,0.1234,-0.322,-0.37799999999999995,-0.135,0.9789,-0.1176,-0.598,0.24600000000000002,0.1709,-0.7802,0.0,0.005,0.298,-0.1435,-0.369,-0.408,0.018000000000000002,-0.42700000000000005,0.373,-1.067,-0.56,-0.2353,-0.718,0.7247,-0.1886,-0.608,0.3106,0.067,0.0127,0.575,-0.5483,-0.2317,0.1767,-0.0879,0.2839,-0.08199999999999999,-0.2717,-0.0811,-0.542,0.6709999999999999
11CO036,0.539,0.312,0.1435,-0.456,0.1451,0.29100000000000004,0.93,0.653,0.161,0.29100000000000004,-1.122,-0.87,-0.573,0.11599999999999999,-0.077,0.106,-0.2516,0.4062,3.7560000000000002,-0.792,-0.3015,0.3073,0.3625,0.174,0.0934,-0.047,-0.655,0.299,0.155,0.9490000000000001,0.26,0.414,0.048,-0.4349,-0.7672,-0.1858,-0.0855,0.2054,-0.0894,1.89,0.1762,0.4419,0.8859999999999999,0.2884,-0.5489999999999999,-0.2793,-0.765,-0.4024,0.29600000000000004,-1.511,0.68,-0.3564,-0.2986,0.057999999999999996,-0.095,-0.5568,-0.444,1.052,-0.2869,-0.0784,0.204,-0.49200000000000005,-0.053,0.4925,-0.1903,-0.778,-0.012,0.775,-0.0209,-0.2609,0.47700000000000004,-0.0656,-0.0655,-0.675,-0.5369,0.284,0.1465,-0.3189,0.384,-0.044000000000000004,-0.573,0.172,-1.9869999999999999,0.264,-0.154,0.3383,-0.065,-0.9490000000000001,-0.2781,0.384,-0.153,0.431,0.2694,0.442,0.505,-0.275,0.18,0.585,0.1451,-0.626
11CO037,0.2284,0.0457,0.523,0.303,-0.4057,0.324,0.625,-0.154,0.1877,-0.0015,-0.966,-0.2198,-1.308,0.1963,0.0668,-0.4292,-0.1488,0.826,0.209,0.048,-0.02,-0.292,0.3171,0.0535,-1.062,-0.207,-0.885,-0.11599999999999999,0.677,-0.3573,0.0377,0.1431,0.10800000000000001,-0.0752,-0.26899999999999996,-0.25,-0.05,0.34700000000000003,0.0005,0.29100000000000004,0.3255,0.28800000000000003,-0.1853,-0.15,0.3761,0.177,-0.5379999999999999,0.0656,0.516,-1.18,0.293,0.449,0.004,0.397,0.3108,0.2192,-0.28600000000000003,-0.2712,0.0995,-0.1653,-0.2207,0.0967,-0.39799999999999996,0.5411,0.0654,-0.3393,-0.027000000000000003,-0.457,0.1693,-0.1597,0.2329,-0.21600000000000003,0.491,-0.5939,-0.4355,0.248,-0.1699,0.354,-0.5,-0.11,0.0762,-0.0893,-1.209,-0.2066,0.413,-0.498,-0.031,-0.561,0.1699,0.2701,-0.23199999999999998,-1.5659999999999998,0.48700000000000004,0.0149,0.354,-0.2937,-0.6213,-0.096,-0.2,-0.48700000000000004
11CO039,-0.2009,-0.0074,0.078,-0.6591,0.3017,0.21899999999999997,0.924,0.47700000000000004,0.58,0.1003,-0.569,0.1439,0.037000000000000005,0.88,-0.124,-0.071,-0.292,-0.444,-0.6971,-0.2444,-0.6034,-0.2748,-0.444,0.1493,-0.484,0.1431,-1.0070000000000001,-0.1631,0.539,0.043,-0.816,0.6359,-0.426,0.0729,-0.945,0.45299999999999996,0.594,-0.2237,0.727,1.2009999999999998,-0.044000000000000004,1.055,-0.23199999999999998,0.643,-0.4865,0.10300000000000001,-0.9722,-0.355,0.1133,-0.474,0.4637,0.1779,-0.47100000000000003,-0.38799999999999996,-1.148,0.45,0.446,0.066,0.2097,-0.392,0.9209999999999999,0.002,-1.46,0.055999999999999994,0.3802,-0.4318,0.8109999999999999,0.495,0.262,-0.42200000000000004,0.715,1.192,0.615,-0.4,-0.161,0.8071,0.043,-0.995,-0.21600000000000003,-0.7240000000000001,-0.1767,0.006,-0.2735,-0.8740000000000001,0.76,0.18,0.1729,-0.0326,-0.1268,0.1917,-0.3451,-0.615,1.048,0.1896,0.7829999999999999,0.5576,0.105,0.26,0.772,-0.1271
11CO042,0.1973,-0.0713,-0.031,-0.2317,-0.0638,0.40399999999999997,0.9990000000000001,0.0793,0.4705,-0.29600000000000004,-0.907,-0.948,-0.5329999999999999,0.21899999999999997,0.508,-0.445,-0.6809999999999999,0.45799999999999996,1.4873,0.177,-1.4480000000000002,-0.318,-0.0628,0.3727,0.025,-0.325,-1.504,-0.9520000000000001,-0.0549,0.0771,0.0997,-0.0474,-0.0523,-0.36200000000000004,-0.2732,-0.1279,0.055999999999999994,-0.0215,0.58,0.3009,0.1561,0.4056,0.2219,-0.133,0.254,-0.3138,-1.453,-1.068,0.1415,-1.9409999999999998,0.5236,0.2032,0.052000000000000005,-0.452,0.038,-0.3586,0.264,-0.11699999999999999,0.465,0.0522,0.3758,-0.027000000000000003,-1.216,-0.544,0.757,-0.2622,0.4293,-0.005,0.1403,-0.0564,-0.1424,-0.203,0.685,-0.43,-0.231,0.1884,-0.1735,-0.444,-0.228,-0.304,0.12,-0.4627,-1.307,1.232,-1.6130000000000002,0.2788,0.1502,-0.633,0.0861,-0.0371,-0.4958,-1.413,0.3812,0.37200000000000005,0.5855,0.39,-0.6509999999999999,0.036000000000000004,-1.4340000000000002,0.991
11CO043,0.1721,0.0154,0.0803,-0.522,0.2113,-0.032,0.996,0.1869,0.488,-0.3547,-0.529,-0.4804,-0.49200000000000005,0.0333,-0.0024,-0.1311,-0.511,0.753,2.096,-0.017,0.006,0.11699999999999999,-0.142,0.308,0.098,0.02,-0.835,0.14800000000000002,0.1111,0.0735,-0.21899999999999997,0.2251,-0.3719,-0.2731,-1.248,0.0443,-0.4497,0.1721,0.061,0.991,0.2029,0.41600000000000004,-0.024,0.2835,-0.509,0.043,-0.693,-0.1401,0.319,-2.6660000000000004,0.292,-0.158,-0.0704,-0.5069,-0.45899999999999996,-0.2725,-0.4041,-0.222,-0.2968,0.0131,-0.39799999999999996,-0.165,-0.37200000000000005,0.0475,-0.0494,-0.147,0.8490000000000001,0.2321,-0.0833,0.057999999999999996,0.527,0.0204,0.44299999999999995,-0.494,-0.6409999999999999,0.1293,-0.0085,-0.255,0.0075,-0.042,-0.424,-0.807,-1.3869999999999998,0.379,0.1496,-0.0525,-0.2418,-0.672,-0.09300000000000001,-0.0437,-0.004,-0.9159999999999999,0.2452,0.1671,0.536,0.096,0.1974,0.2898,-0.222,0.2812
11CO044,0.331,0.4612,0.2993,0.3496,0.0518,-0.0829,0.39,-0.035,0.634,0.198,-0.046,-1.0842,-0.4889,0.754,0.0536,0.019,-0.3809,1.069,3.66,-0.3011,-0.242,-0.5770000000000001,-0.0977,0.622,0.213,-0.344,-0.428,0.5760000000000001,0.175,0.3553,0.275,0.1339,0.028999999999999998,-0.579,-0.6863,0.1452,0.2446,0.183,0.6294,0.812,0.0822,0.2977,0.708,0.0013,-0.358,0.9277,-1.104,0.6990000000000001,1.104,-1.775,0.3356,-0.1119,0.4532,0.301,-0.1855,-0.3151,0.0459,0.005,-0.0317,-0.07,-0.4165,-0.1334,-0.687,0.064,0.907,-0.794,0.0562,0.607,0.4836,0.0388,1.168,0.0187,0.8690000000000001,-0.9470000000000001,-0.7759999999999999,0.2924,-0.1933,-0.17300000000000001,-0.45,-0.608,-0.426,0.3387,-1.5190000000000001,-0.3693,-0.3348,-0.3709,-0.3037,-0.442,-0.0752,-0.016,0.397,-0.3995,0.067,-0.017,0.3443,0.066,-0.1632,0.184,-0.544,0.4915
11CO045,0.2727,-0.0616,0.2999,-0.1718,-0.01,-0.08800000000000001,0.4021,-0.0494,0.391,0.027999999999999997,-1.3319999999999999,-1.177,-1.057,0.344,0.2543,-0.153,-0.6009,1.65,2.455,-0.759,-0.6659999999999999,0.447,-0.4516,0.41200000000000003,0.4487,-0.2085,-1.5630000000000002,-0.099,0.0755,0.2174,-0.0827,0.006999999999999999,0.1276,-0.154,-0.5859,-0.21899999999999997,-0.2243,0.1006,0.215,0.545,-0.0127,0.2955,0.466,0.196,0.4035,-0.266,-2.18,-0.56,-0.3188,-2.47,0.1166,-0.0686,-0.139,0.1416,0.1093,-0.4045,0.2331,-0.079,0.4175,-0.37,-0.2897,-0.638,-0.1897,0.38,0.2978,0.0769,0.1134,0.11900000000000001,0.0224,-0.1814,-0.08199999999999999,0.608,0.5127,-0.915,-1.534,0.134,-0.299,-0.7559999999999999,-0.581,0.09,-0.37,0.0664,-1.87,0.354,-1.1059999999999999,-0.0047,0.071,-0.97,0.131,-0.0141,-0.49,-1.65,0.307,0.285,0.2786,-0.4829,-0.402,-0.037000000000000005,-1.2209999999999999,0.0704
11CO047,0.3337,0.2345,0.063,-0.441,0.2125,0.3435,0.75,0.433,0.614,-0.0084,-0.626,-0.4016,-0.7190000000000001,0.1398,-0.20800000000000002,-0.2603,-0.0156,0.5577,2.5669999999999997,-0.5870000000000001,-0.46299999999999997,0.039,0.2565,0.2886,-0.135,-0.0988,-0.5793,-0.4228,0.3101,0.7824,0.3582,0.069,0.1674,-0.86,-0.43,-0.1403,-0.2239,0.2568,0.1361,1.272,0.1055,0.2483,1.0943,0.1969,-0.5355,0.0125,-1.329,-0.2455,-0.0293,-1.8230000000000002,0.361,-0.3946,0.129,0.0833,-0.251,-0.371,0.1638,1.195,-0.2368,-0.139,-1.126,-0.217,0.21600000000000003,0.35,0.565,-0.45299999999999996,0.3435,0.5283,0.0653,-0.0707,0.858,0.3786,0.509,-0.534,-0.23,0.39,-0.054000000000000006,-0.2589,0.1384,-0.4198,-0.3755,-0.6768,-0.8270000000000001,-0.215,-0.4172,0.326,-0.1805,-0.7340000000000001,-0.335,0.0938,-0.484,-0.33799999999999997,0.0907,0.0717,0.516,0.304,-0.94,0.2367,-0.29,0.825
11CO048,-0.1572,0.1017,0.2145,-0.1168,-0.10300000000000001,0.2001,0.7090000000000001,0.1959,0.317,0.2593,-0.0661,-0.1479,0.1604,0.3866,-0.521,-0.109,-0.26,0.42,0.364,-0.33899999999999997,0.4704,-0.4593,0.2474,0.0565,-0.4767,0.26899999999999996,-1.181,0.5697,-0.055,0.0097,0.071,0.1578,0.0308,-0.777,-0.22,-0.2775,0.0257,-0.0609,0.0492,0.41600000000000004,-0.1743,0.3321,0.212,0.1641,-0.4647,0.92,-1.004,-0.1312,0.667,-2.024,0.1421,-0.1561,-0.3983,0.011000000000000001,0.139,-0.1625,-0.03,0.061,-0.2792,-0.938,-0.53,0.264,0.043,-0.1032,0.5632,-0.381,0.461,0.67,0.34600000000000003,0.027999999999999997,0.627,-0.0674,0.1405,-0.866,-0.049,-0.1421,0.0906,-0.336,0.2486,-0.2443,0.035,-0.1823,-0.0658,-0.389,0.281,-0.177,-0.002,-0.46,-0.1618,0.0933,-0.3044,0.2067,0.217,-0.2281,0.7170000000000001,-0.0001,-0.026000000000000002,-0.1681,0.057,0.27
